term,definition,category,rel_terms,abbrev,synonym,refs,alt_def,rel_terms_alt_def,refs_alt_def,drafted_by,reviewed_by,status
Metabolism,"Metabolism is the total of all organic processes (or chemical changes) taking place in a cell or organism that produce the energy and basic materials that are necessary to sustain life. Cellular metabolism can be divided into two categories: anabolism which entails the construction of complex organic molecules from simpler precursors, and catabolism which involves the breakdown of complex substances into simpler molecules. The adjective of metabolism is metabolic. ",Neuroscience,"catabolism, anabolism",,metabolic process,"<a href=""National Cancer Institute. National Cancer Institute Thesaurus, 2017. Documentation page available on http://nciterms.nci.nih.gov."" target=""_blank"">National Cancer Institute. National Cancer Institute Thesaurus, 2017. Documentation page available on http://nciterms.nci.nih.gov.</a><p></p><a href=""https://doi.org/10.1038/098389b0  
"" target=""_blank"">https://doi.org/10.1038/098389b0  
</a><p></p><a href=""Sánchez López de Nava A, Raja A. Physiology, Metabolism. (2022) Treasure Island (FL): StatPearls Publishing PMID: 31536296.https://pubmed.ncbi.nlm.nih.gov/31536296/ 
"" target=""_blank"">Sánchez López de Nava A, Raja A. Physiology, Metabolism. (2022) Treasure Island (FL): StatPearls Publishing PMID: 31536296.https://pubmed.ncbi.nlm.nih.gov/31536296/ 
</a>", , , ,OntoNIRS," Beatrix Barth, Oliver Seidel-Marzi, Hadi Hosseini, Margaret Chojak,  Louisa Gossé, Meryem Ayşe Yücel, David Mehler, Rob J MacLennan, Abi Fiske, Judit Gervain",Complete (agreement from at least 5 team members)
Montreal Neurological Institute template,"A standard set of 3 coordinates in x- y and z-direction developed at the Montreal Neurological Institute (MNI) that reports, as spatial locations in the brain, the results of voxel-based analysis. These coordinates were obtained by spatially co-registering 152 brain images acquired from healthy participants.",Neuroscience,Talairach coordinates,"MNI template, MNI 152",,"<p></p><a href=""https://doi.org/10.1017/9781316105771 
"" target=""_blank"">https://doi.org/10.1017/9781316105771 
</a>", , , ,OntoNIRS," Lenaic Borot, Kim Meidenbauer, Aykut Eken, Lauren Emberson Laura Diprossimo, Judit Gervain",Complete (agreement from at least 5 team members)
Negative BOLD response,"Relative temporal decrease in BOLD contrast (stemming from increases in proportion of deoxygenated hemoglobin) in specific areas of the brain. Converging evidence indicates that the negative BOLD response can be interpreted as a decrease in neuronal activity below baseline (e.g. rest) levels. However, it is possible that it originates from a different neurovascular coupling mechanism compared to a positive BOLD response. ",Neuroscience,Inverted Hemodynamic Response,NBR,,"<a href=""https://doi.org/10.1016/S0896-6273(02)01138-8  ;  https://doi.org/10.1152/jn.01199.2011"" target=""_blank"">https://doi.org/10.1016/S0896-6273(02)01138-8  ;  https://doi.org/10.1152/jn.01199.2011</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2014.02.029
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2014.02.029
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2013.10.055 
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2013.10.055 
</a><p></p><a href=""https://doi.org/10.1016/j.cub.2016.12.028 
"" target=""_blank"">https://doi.org/10.1016/j.cub.2016.12.028 
</a>", , , ,"Ali Rahimpour Jounghani, David Mehler"," David Mehler, Lauren Emberson, Michael Lührs, Laura Diprossimo, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members)
Neural Activity,Neural activity refers to the firing and discharge of action potentials by neurons leading to electrophysiological currents and transmissions in the central nervous system (CNS) and peripheral nervous system (PNS) in order to convey information. ,Neuroscience,,,,"Alberts, B., Johnson, A., Lewis, J., Raff, M., Roberts, K., & Walter, P. (2002). General principles of cell communication. In Molecular Biology of the Cell. 4th edition. Garland Science. ", , , ,"Ali Rahimpour Jounghani, Lauren Emberson"," Kim Meidenbauer, Talukdar Raian Ferdous Murat Can Mutlu, Lauren Emberson, Jason DeFreitas, Rob J MacLennan, Chia-Chuan Yu, Meryem Ayşe Yücel, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
Neurofeedback,"In neurofeedback, the participant's brain activity is measured (e.g., with fNIRS fMRI or EEG), processed and fed back to the user in real time. In this way, selected features of brain activity are made perceptible to the participant. As a result, participants can learn to modify their brain activity depending on the feedback, and thus directly change specific neural correlates putatively underlying a specific behavior, function or symptom. Neurofeedback training can be implemented in an explicit (i.e. with specific task instructions) or in an implicit way. Neurofeedback has been applied in many clinical areas and is investigated for its potential in alleviating symptoms in a range of psychiatric and neurological diseases. ",Neuroscience,"Biofeedback, Brain Computer Interface, real-time ","NF, NFT, NFB",,"<a href=""https://doi.org/10.1038/nrn.2016.164"" target=""_blank"">https://doi.org/10.1038/nrn.2016.164</a><p></p><a href=""https://doi.org/10.15412%2FJ.BCN.03070208 
"" target=""_blank"">https://doi.org/10.15412%2FJ.BCN.03070208 
</a><p></p><a href=""https://doi.org/10.1016/j.neurol.2021.08.004 
"" target=""_blank"">https://doi.org/10.1016/j.neurol.2021.08.004 
</a>", , , ,Beatrix Barth," Kim Meidenbauer, Margaret Chojak, Ann-Christine Ehlis, Franziska Klein, David Mehler, Chiara Bulgarelli, Judit Gervain",Complete (agreement from at least 5 team members) 
Neuroimaging,"Neuroimaging is a field of research that uses imaging technology to examine the structure and functions of the central nervous system. There are two main categories of neuroimaging tools: Structural imaging that quantifies the anatomy/morphology of the brain (e.g. voxel-based morphometry) and functional imaging that measures the functioning of the brain (e.g. EEG, fMRI, fNIRS). Moreover Imaging technologies differ with regard to the response assessed, that is the electrophysiological, the hemodynamic and/or the metabolic response. ",Neuroscience,"(functional/structural) Magnetic Resonance Imaging ((f)MRI/(s)MRI), Electroencephalography (EEG), functional Near-Infrared Spectroscopy (fNIRS), Magnetencephalography (MEG), Positron Emission Tomography (PET), Computerized Tomography (CT)",,,"<a href=""https://doi.org/10.3389/fneur.2020.00257"" target=""_blank"">https://doi.org/10.3389/fneur.2020.00257</a><p></p><a href=""https://doi.org/10.31887%2FDCNS.2009.11.4%2Fmbrammer 
"" target=""_blank"">https://doi.org/10.31887%2FDCNS.2009.11.4%2Fmbrammer 
</a>", , , ,Usama A Syed," Mahmoud Elsherif, Kim Meidenbauer, Margaret Chojak, Franziska Klein, Oliver Seidel-Marzi, Talukdar Raian Ferdous, Chiara Bulgarelli,  Lauren Emberson, Meryem Ayşe Yücel, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
Neurometabolic coupling,"The neurovascular and neurometabolic (NMC) couplings connect cerebral activity, blood flow, and metabolism. This interconnection is used for instance in fMRI and fNIRS. The mechanisms underlying the NVC are complex. Astrocytes adjust energy production to neuronal energy needs through different mechanisms grouped under the term ""neurometabolic coupling"" (NMC). These mechanisms of coupling are particularly important to ensure normal synaptic functioning when neurons undergo rapid and repetitive changes in the firing rate. Investigations into brain energy metabolism have been mainly focused on glucose consumption, lactate production and glycogen metabolism. Lactate is transferred from astrocytes to neurons to match the neuronal energetic needs, and to provide signals that modulate neuronal functions, including excitability, plasticity and memory consolidation. Consequently, neurons and astrocytes show tight metabolic coupling.",Neuroscience,,NMC,,"<a href=""https://doi.org/10.1111/jnc.13143 "" target=""_blank"">https://doi.org/10.1111/jnc.13143 </a>", , , ,"Renato Orti, Marco Ferrari"," Marco Ferrari, Paola Pinti",Open for review
Neuron,"Neurons are the main information-processing cells of the nervous system along with supporting cells such as glial cells. Neurons have a cell body, dendrites and axons. Dendrites receive synaptic information from other neurons by transmitters. When the potential change at the axon-hill reaches a critical threshold the cell launches an action potential travelling through the axon which has synaptic connections to the dendrites of other neurons.  Most neurons thus use action potentials to send signals over a distance via axons, and neurons communicate with one another using synaptic transmission. While dendritic potential changes add up, the action potential is either generated or not (all- or - nothing principle). ",Neuroscience,,,,"M.F. Bear, B.W. Connors, and M.A. Paradiso. Neuroscience: Exploring the brain. Neuroscience: Exploring the Brain. Lippincott Williams & Wilkins, 2007<p></p><a href=""https://doi.org/10.1002/cne.24040
"" target=""_blank"">https://doi.org/10.1002/cne.24040
</a><p></p><a href=""https://doi.org/10.1038/nrn.2018.19 
"" target=""_blank"">https://doi.org/10.1038/nrn.2018.19 
</a><p></p><a href=""https://doi.org/10.1016/j.neuroscience.2015.12.007 
"" target=""_blank"">https://doi.org/10.1016/j.neuroscience.2015.12.007 
</a>", , , ,OntoNIRS," Agnes Kroczek, Lauren Emberson, Jason DeFreitas, Rob J MacLennan, Divya Jain, Chia-Chuan Yu, Margaret Chojak, Judit Gervain",Complete (agreement from at least 5 team members)
Neurovascular coupling,"Neurovascular coupling is a complex physiological process that  regulates blood flow and oxygen delivery to the neuronal tissue  during functional activity and is related to the neurovascular unit. The latter comprises   the local vascularture , neurons, and astrocytes.  A gross oversimplification can be summarized as follows: neural activation increases oxygen demand. Following arterial endothelium signaling, the regional lood flow is increased. This results in an increase in the cerebral blood flow and cerebral blood volume. Larger increases in cerebral blood volume compared to the regional oxygen consumption results in an increase in blood oxygenation in the region. Neurovascular coupling can be compromised in brain regions that are affected by pathological processes (e.g. inflammation, lesions), which should be considered in the interpretation of hemodynamic brain imaging data of certain patient populations (e.g. traumatic brain injury, or stroke).   ",Neuroscience,cerebral blood flow,,,"Mark A Mintun, et al. Blood flow and oxygen delivery to human brain during functional activity: theoretical modeling and experimental data. Proceedings of the National Academy of Sciences, 98(12):6859–6864, 2001.<p></p><a href=""https://doi.org/10.1073%2Fpnas.111164398 
"" target=""_blank"">https://doi.org/10.1073%2Fpnas.111164398 
</a><p></p><a href=""https://doi.org/10.1016/s0896-6273(04)00221-1 
"" target=""_blank"">https://doi.org/10.1016/s0896-6273(04)00221-1 
</a><p></p><a href=""https://doi.org/10.1038/sj.jcbfm.9600091 
"" target=""_blank"">https://doi.org/10.1038/sj.jcbfm.9600091 
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2012.01.040 
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2012.01.040 
</a><p></p><a href=""https://doi.org/10.1177/0271678x15617954 
"" target=""_blank"">https://doi.org/10.1177/0271678x15617954 
</a><p></p><a href=""https://doi.org/10.1016/j.neuron.2017.07.030. 
"" target=""_blank"">https://doi.org/10.1016/j.neuron.2017.07.030. 
</a>", , , ,OntoNIRS," Agnes Kroczek, David Mehler, Renato Orti, Rob J MacLennan, Divya Jain, Chia-Chuan Yu, Valentina Quaresima, Judit Gervain, Marco Ferrari",Complete (agreement from at least 5 team members)
Neurovascular coupling,"Neurovascular coupling is a complex physiological process that  regulates blood flow and oxygen delivery to the neuronal tissue  during functional activity and is related to the neurovascular unit. The latter comprises   the local vascularture , neurons, and astrocytes.  A gross oversimplification can be summarized as follows: neural activation increases oxygen demand. Following arterial endothelium signaling, the regional lood flow is increased. This results in an increase in the cerebral blood flow and cerebral blood volume. Larger increases in cerebral blood volume compared to the regional oxygen consumption results in an increase in blood oxygenation in the region. Neurovascular coupling can be compromised in brain regions that are affected by pathological processes (e.g. inflammation, lesions), which should be considered in the interpretation of hemodynamic brain imaging data of certain patient populations (e.g. traumatic brain injury, or stroke).   ",Neuroscience,Light Intensity,OD,,"doi: 10.1117/1.JBO.26.10.100901; DOI:10.1152/japplphysiol.01217.2001<p></p>doi: 10.1038/s41598-022-06082-1
<p></p><a href=""https://doi.org/10.3390/jfmk4020028
"" target=""_blank"">https://doi.org/10.3390/jfmk4020028
</a>"," Optical density or absorbance is the ability of a material to transmit light through it. It is affected by the wavelength of light. At the same time, absorption is the transfer of wave energy when the wave passes through a medium.", , ,Hadi Hosseini," Ali Rahimpour Jounghani, Margaret Chojak, Abi Fiske, Yoko Hoshi, Judit Gervain, Marco Ferrari ",Complete (agreement from at least 5 team members)
